id,case_id,created_time,last_modified_time,created_by_id,last_modified_by_id,created_by_name,created_by_role,created_by_team,comment_body,is_published
CMT-9001-01,TCK-9001,2026-07-20T14:00:00Z,2026-07-20T14:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Postmaster shows domain reputation declined to MEDIUM. Increased send volume preceded the open-rate drop. Escalating to Deliverability Ops to review the deferral pattern on this IP pool.,false
CMT-9001-02,TCK-9001,2026-07-20T16:00:00Z,2026-07-20T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Send cadence spiked before the drop. Recommend smoothing volume and prioritising 30-day engagers. Reducing daily cap by 30% should recover Gmail reputation within 5–7 days.,false
CMT-9002-01,TCK-9002,2026-07-20T14:00:00Z,2026-07-20T14:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Microsoft S3140 indicates IP reputation throttling. Return-Path alignment looks off. Checking if the current IP is shared with another high-volume sender.,false
CMT-9002-02,TCK-9002,2026-07-20T16:00:00Z,2026-07-20T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Confirmed shared IP pool issue. Noisy co-tenant triggered the Microsoft throttle. Migrating account to a dedicated IP; warmup schedule required before full volume resumes.,false
CMT-9003-01,TCK-9003,2026-07-20T14:00:00Z,2026-07-20T14:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,"SPF has exceeded 10 DNS lookups — PermError confirmed. With DMARC at p=quarantine, receiving servers quarantine unaligned mail. DNS team to identify which includes can be safely flattened.",false
CMT-9003-02,TCK-9003,2026-07-20T16:00:00Z,2026-07-20T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Legacy include (obsolete third-party ESP) and one redundant MX include identified as safe to remove. Flattened SPF record prepared for customer review.,false
CMT-9004-01,TCK-9004,2026-07-20T14:00:00Z,2026-07-20T14:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Postmaster shows domain reputation declined to MEDIUM. Increased send volume preceded the open-rate drop. Escalating to Deliverability Ops to review the deferral pattern on this IP pool.,false
CMT-9004-02,TCK-9004,2026-07-20T16:00:00Z,2026-07-20T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Send cadence spiked before the drop. Recommend smoothing volume and prioritising 30-day engagers. Reducing daily cap by 30% should recover Gmail reputation within 5–7 days.,false
CMT-9005-01,TCK-9005,2026-07-20T14:00:00Z,2026-07-20T14:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Microsoft S3140 indicates IP reputation throttling. Return-Path alignment looks off. Checking if the current IP is shared with another high-volume sender.,false
CMT-9005-02,TCK-9005,2026-07-20T16:00:00Z,2026-07-20T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Confirmed shared IP pool issue. Noisy co-tenant triggered the Microsoft throttle. Migrating account to a dedicated IP; warmup schedule required before full volume resumes.,false
